resources.tasks,Export,CreateFunctionSpace,LoadMesh
1,0.019674833,0.0144329652,0.06538695559999999
4,0.0351453295,0.009373033599999999,0.1867414398
24,0.1456455541,0.005127111699999999,0.324930846
96,0.5742571923,0.0037948871000000003,0.8621042173
