resources.tasks,Export,CreateFunctionSpace,LoadMesh
1,0.0229053159,0.014444332899999999,0.0652011143
4,0.0464662902,0.009310495399999999,0.13899449000000003
24,0.16412541419999999,0.005378318599999999,0.4212274484
96,0.5204559286999999,0.0039967866,0.7799185349
